FSCS Key,Library Name,Economic Tier,Library Type,K-12 Schools,Higher Education,Local Employment Office,Health & Human Services,Parks & Recreation,Other Local Government,Economic Development Orgs,Local Businesses,Local Health Orgs,Faith Organizations,Agricultural/Environmental Orgs,Youth Organizations,Adult Organizations
NC0100,JACOB MAUNEY MEMORIAL LIBRARY,1,Municipal,Collaborative,Communicative,Communicative,Communicative,Cooperative,Collaborative,Communicative,Communicative,Communicative,Communicative,Collaborative,Collaborative,Collaborative
NC0042,LEE COUNTY LIBRARY,2,County,Communicative,Communicative,,Collaborative,Collaborative,Collaborative,Cooperative,Cooperative,Communicative,Communicative,Cooperative,Collaborative,Cooperative
NC0106,LINCOLN COUNTY PUBLIC LIBRARY,3,County,Collaborative,Collaborative,Collaborative,Collaborative,Collaborative,Collaborative,Cooperative,Cooperative,Cooperative,Cooperative,Collaborative,Cooperative,Cooperative
NC0043,MADISON COUNTY PUBLIC LIBRARY,2,County,Cooperative,Communicative,Communicative,Cooperative,Cooperative,Communicative,Communicative,Communicative,,,Cooperative,Communicative,Communicative
NC0044,MCDOWELL COUNTY PUBLIC LIBRARY,2,County,Cooperative,Communicative,Communicative,Cooperative,Cooperative,Communicative,Communicative,Communicative,Communicative,Communicative,Communicative,Communicative,Communicative
NC0083,MOORESVILLE PUBLIC LIBRARY,3,Municipal,Collaborative,Communicative,,Communicative,Collaborative,Collaborative,Communicative,Communicative,Communicative,Cooperative,,Communicative,Communicative
NC0011,NANTAHALA REGIONAL LIBRARY,1,Regional,Communicative,,,Communicative,Communicative,Collaborative,Communicative,Cooperative,Collaborative,Collaborative,Collaborative,Collaborative,Collaborative
NC0012,NEUSE REGIONAL LIBRARY,1,Regional,Collaborative,Collaborative,Collaborative,Collaborative,Collaborative,Cooperative,Cooperative,Cooperative,Collaborative,Cooperative,Cooperative,Collaborative,Cooperative
NC0047,NEW HANOVER COUNTY PUBLIC LIBRARY,3,County,Cooperative,Communicative,Communicative,Collaborative,Collaborative,Collaborative,Communicative,Communicative,Communicative,,Cooperative,Cooperative,Cooperative
NC0013,NORTHWESTERN REGIONAL LIBRARY,2,Regional,Collaborative,Collaborative,Collaborative,Collaborative,Collaborative,Collaborative,Collaborative,Collaborative,Collaborative,Collaborative,Collaborative,Collaborative,Collaborative
NC0048,ONSLOW COUNTY PUBLIC LIBRARY,1,County,Collaborative,Cooperative,Communicative,Collaborative,Collaborative,Collaborative,Communicative,Cooperative,Cooperative,Communicative,Collaborative,Collaborative,Collaborative
NC0108,ORANGE COUNTY PUBLIC LIBRARY,3,County,Cooperative,,,Collaborative,Communicative,Collaborative,Cooperative,Communicative,Cooperative,Communicative,Communicative,Cooperative,Cooperative
NC0049,PENDER COUNTY PUBLIC LIBRARY,3,County,Collaborative,,Collaborative,Communicative,Communicative,Communicative,,,Cooperative,,,Communicative,Collaborative
NC0062,H. LESLIE PERRY MEMORIAL LIBRARY,1,County,Communicative,Communicative,,Cooperative,Cooperative,Cooperative,Communicative,Cooperative,Cooperative,Communicative,Cooperative,Cooperative,Cooperative
NC0109,PERSON COUNTY PUBLIC LIBRARY,2,County,Cooperative,Collaborative,Cooperative,Cooperative,Collaborative,Cooperative,Cooperative,Collaborative,Cooperative,Cooperative,Collaborative,Collaborative,Collaborative
NC0014,PETTIGREW REGIONAL LIBRARY,1,Regional,Communicative,,,,,Cooperative,,,Cooperative,,,,
NC0051,POLK COUNTY PUBLIC LIBRARIES,2,County,Collaborative,Cooperative,Collaborative,Collaborative,Collaborative,Collaborative,Communicative,Communicative,Collaborative,Communicative,Cooperative,Collaborative,Collaborative
NC0041,PUBLIC LIBRARY OF JOHNSTON COUNTY & SMITHFIELD,3,County,Communicative,Communicative,Communicative,Communicative,Communicative,Communicative,Communicative,Communicative,Communicative,Communicative,Communicative,Communicative,Communicative
NC0052,RANDOLPH PUBLIC LIBRARY,1,County,Cooperative,Communicative,Communicative,Communicative,Cooperative,Communicative,Communicative,Cooperative,Communicative,Communicative,Cooperative,Collaborative,Cooperative
NC0088,ROANOKE RAPIDS PUBLIC LIBRARY,1,Municipal,Collaborative,,,Communicative,Collaborative,Collaborative,,Communicative,Cooperative,Communicative,Communicative,,
NC0053,ROBESON COUNTY PUBLIC LIBRARY,1,County,Communicative,Communicative,,Cooperative,Cooperative,,Communicative,Cooperative,Cooperative,Communicative,,Cooperative,Communicative
NC0054,ROCKINGHAM COUNTY PUBLIC LIBRARY,1,County,Collaborative,,,Collaborative,,Collaborative,,,,,,,
NC0055,ROWAN PUBLIC LIBRARY,1,County,Communicative,Communicative,Communicative,Communicative,Communicative,Collaborative,Cooperative,Collaborative,Communicative,Communicative,Communicative,Communicative,Collaborative
NC0056,RUTHERFORD COUNTY LIBRARY,1,County,Communicative,Communicative,Communicative,Cooperative,Communicative,Cooperative,Cooperative,Cooperative,Cooperative,Communicative,Cooperative,Cooperative,Communicative
NC0057,SAMPSON-CLINTON PUBLIC LIBRARY,1,County,Collaborative,,,,,Communicative,,Cooperative,,,,Cooperative,Collaborative
NC0015,SANDHILL REGIONAL LIBRARY SYSTEM,2,Regional,Collaborative,Communicative,Communicative,Cooperative,Communicative,Communicative,Communicative,Communicative,Communicative,Communicative,Communicative,Communicative,Communicative
NC0058,SCOTLAND COUNTY MEMORIAL LIBRARY,1,County,Cooperative,,,Collaborative,Cooperative,Cooperative,Cooperative,Communicative,Communicative,Cooperative,Communicative,Cooperative,Cooperative
NC0050,SHEPPARD MEMORIAL LIBRARY,1,County,Cooperative,Cooperative,,Cooperative,Cooperative,Cooperative,Cooperative,Cooperative,Cooperative,,,Collaborative,
NC0093,SOUTHERN PINES PUBLIC LIBRARY,3,Municipal,Communicative,Communicative,Communicative,,Cooperative,Cooperative,Communicative,Communicative,Communicative,Communicative,Communicative,Communicative,Communicative
NC0059,STANLY COUNTY PUBLIC LIBRARY,2,County,Cooperative,Communicative,Communicative,Cooperative,Communicative,Cooperative,Communicative,Cooperative,Communicative,Communicative,,Cooperative,Cooperative
NC0060,TRANSYLVANIA COUNTY LIBRARY,3,County,Collaborative,Collaborative,Cooperative,Collaborative,Cooperative,Cooperative,Cooperative,Cooperative,Collaborative,Communicative,Collaborative,Collaborative,Cooperative
NC0061,UNION COUNTY PUBLIC LIBRARY,3,County,Cooperative,Communicative,Communicative,Communicative,Cooperative,Communicative,Communicative,Communicative,Communicative,Communicative,Cooperative,Cooperative,Cooperative
NC0063,WAKE COUNTY PUBLIC LIBRARIES,3,County,Cooperative,Communicative,,Cooperative,Cooperative,Collaborative,Communicative,Communicative,Cooperative,Communicative,Communicative,Cooperative,Cooperative
NC0101,WARREN COUNTY MEMORIAL LIBRARY,1,County,Cooperative,Communicative,Communicative,Cooperative,Cooperative,Cooperative,Communicative,Communicative,Cooperative,Communicative,Cooperative,Cooperative,Cooperative
NC0065,WAYNE COUNTY PUBLIC LIBRARY,1,County,Cooperative,Collaborative,Cooperative,Cooperative,Collaborative,Collaborative,Communicative,Collaborative,Collaborative,Communicative,Cooperative,Collaborative,Collaborative
NC0066,WILSON COUNTY PUBLIC LIBRARY,1,County,Communicative,Cooperative,Cooperative,Collaborative,Communicative,Communicative,Collaborative,Cooperative,Collaborative,Communicative,Collaborative,Collaborative,Cooperative
